,recording,name,stoichiometry,rate_mVenus,rate_pamCherry,density_mVenus,density_pamCherry
47,20190215_6,ClC-2,2,0.25846147705969236,0.17123287671232876,2.5236091054191685,5.20391289385456
48,20190215_7,ClC-2,2,0.3992002163110741,0.2032967032967033,2.0472631163029704,4.134511840346233
49,20190215_8,ClC-2,2,0.26781676377356184,0.1630901287553648,1.0634109822374074,1.9365787153589482
50,20190215_9,ClC-2,2,0.2544318531915398,0.1340782122905028,1.0528872165658354,2.2056834390831734
51,20190215_10,ClC-2,2,0.3375687725648266,0.18848167539267016,1.3283710982245134,2.8043389851406393
52,20190215_11,ClC-2,2,0.3494841243527804,0.23481781376518218,1.3355569039037087,2.346629912140671
53,20190215_12,ClC-2,2,0.2601043178553935,0.15463917525773196,2.1204119698789614,4.110491289127065
54,20190426_1,ClC-2,2,0.2690759777866165,0.0830188679245283,0.7008534799596446,3.4611379548776298
55,20190426_2,ClC-2,2,0.21493076169023645,0.09210526315789473,1.5738363019279389,4.961387301244952
56,20190426_3,ClC-2,2,0.15269569511697503,0.07246376811594203,1.1400354388159266,4.472894145150243
57,20190426_4,ClC-2,2,0.24507538161160422,0.13220338983050847,1.393354792610026,3.4139432539190993
58,20190426_5,ClC-2,2,0.2026177562117397,0.1091703056768559,1.0453943643598815,4.869751636993016
59,20190426_6,ClC-2,2,0.29017211962650813,0.12244897959183673,1.423531472986748,4.071499108053007
60,20190426_7,ClC-2,2,0.22946477456034237,0.078125,1.3842099757150044,5.650222289949301
61,20190426_8,ClC-2,2,0.16677199140204677,0.05714285714285714,0.7381424792139079,5.072679148820022
62,20190426_9,ClC-2,2,0.3399558026976458,0.20987654320987653,2.1447451068240917,5.310388884496451
63,20190426_10,ClC-2,2,0.20190297093588533,0.16759776536312848,2.1182850364345027,5.995503183479798
64,20190411_1,EAAT2,3,0.3279211544547863,0.1643835616438356,1.7736359713310068,6.171080528350032
65,20190411_2,EAAT2,3,0.30593279107759164,0.189010989010989,2.036129779966285,4.8491658164019755
66,20190411_3,EAAT2,3,0.2843235884096577,0.13278008298755187,1.2272984202490018,3.3779381753582336
67,20190411_4,EAAT2,3,0.31319124645829066,0.18439716312056736,2.2159926393797362,5.2511519245390215
68,20190411_5,EAAT2,3,0.3306408319841734,0.12457912457912458,0.7221053261129597,3.079566831952328
69,20190411_6,EAAT2,3,0.26459423580902086,0.14696485623003194,1.7571594380698081,4.500959202328546
70,20190411_8,EAAT2,3,0.15804780274042288,0.11643835616438356,2.2848684538032655,7.556810796384795
71,20190411_9,EAAT2,3,0.2414686227025414,0.06422018348623854,0.9326409406989584,4.3271796586841385
72,20190411_10,EAAT2,3,0.34558503703782684,0.07614213197969544,0.45520469169579975,2.4145640168211986
73,20190411_12,EAAT2,3,0.28209092892694054,0.10526315789473684,1.1738940978482992,5.315131609702021
74,20190411_13,EAAT2,3,0.23166742130705836,0.03007518796992481,0.7457521954944635,6.2372001804991495
75,20190411_15,EAAT2,3,0.38948443561063306,0.08247422680412371,0.5163155720776539,3.16243287897563
76,20190411_16,EAAT2,3,0.1968829284329009,0.14342629482071714,2.227758063494075,4.7488834439914855
77,20190411_17,EAAT2,3,0.15427447106288159,0.03361344537815126,0.698070113217092,5.437787189624425
78,20190509_1,EAAT2,3,0.2635755063863897,0.05747126436781609,0.38980704423504775,1.7956685152466954
79,20190509_2,EAAT2,3,0.3724062517648782,0.1860986547085202,0.9652494246761363,2.3471110630422767
80,20190509_3,EAAT2,3,0.3359531829131979,0.18120805369127516,2.348562017716876,4.186016114311914
81,20190509_4,EAAT2,3,0.4460196122148441,0.21164021164021163,0.9951384171195652,2.2605613425925926
82,20190509_5,EAAT2,3,0.29916696096119566,0.1362397820163488,1.3132809850262481,3.348866511816933
83,20190509_6,EAAT2,3,0.27732896208799507,0.15990453460620524,1.812071258653771,3.829725966425474
84,20190509_7,EAAT2,3,0.28596894780059384,0.17254901960784313,1.1422114845532227,2.4118597876309784
85,20190509_8,EAAT2,3,0.3324264140219737,0.1320754716981132,1.6751073720878833,4.752830334845244
86,20190202_1,Kcnj2,4,0.4524077956215062,0.38022813688212925,1.029450041160541,1.2913595922685233
87,20190202_2,Kcnj2,4,0.3306842874636647,0.29941860465116277,1.9651427146749645,2.228125048550585
88,20190202_3,Kcnj2,4,0.42621805518966416,0.2532894736842105,0.5083585368754909,0.9109048896049521
89,20190202_4,Kcnj2,4,0.47708845032899067,0.30327868852459017,1.3346669364762367,2.0044628898370047
90,20190202_5,Kcnj2,4,0.4485042229341822,0.35294117647058826,1.2238228701854728,1.5247629202310808
91,20190202_7,Kcnj2,4,0.30371440456800125,0.2565597667638484,2.5943995155493047,3.3537359591247107
92,20190202_8,Kcnj2,4,0.586737858392087,0.13537117903930132,0.33850861229628953,1.7024991971372208
93,20190202_9,Kcnj2,4,0.44797845606926107,0.23260437375745527,1.2391546228235266,2.4968040907638223
94,20190202_10,Kcnj2,4,0.4419071512497221,0.23076923076923078,0.7776243265773332,1.765855241602694
95,20190202_11,Kcnj2,4,0.4703872786402548,0.3783783783783784,1.7119113176160154,2.2003886307577583
96,20190208_1,Kcnj2,4,0.4745527730546446,0.2805755395683453,1.123512996434452,2.306158255839138
97,20190208_2,Kcnj2,4,0.4228813465817642,0.22131147540983606,1.0675170014399984,2.2274152818507655
98,20190208_3,Kcnj2,4,0.36001421121581845,0.20710059171597633,1.3911146723646723,2.4467252178649237
99,20190208_4,Kcnj2,4,0.39213466251918905,0.2861635220125786,1.3756757518786993,2.223524251525994
100,20190208_6,Kcnj2,4,0.4384466315096701,0.24415584415584415,1.4501545883830445,2.7924202139542214
101,20190208_7,Kcnj2,4,0.3659576382076761,0.21052631578947367,1.400759024623476,3.124326713357712
102,20190208_8,Kcnj2,4,0.34246455340598275,0.2597402597402597,2.312058478432683,3.9304994133355615
103,20190208_9,Kcnj2,4,0.4048962749156863,0.21338155515370705,1.1973147374279771,2.778718558941761
104,20190208_10,Kcnj2,4,0.3041856050059917,0.10922330097087378,0.8096047472461758,3.0725163768440935
105,20190208_11,Kcnj2,4,0.41303709255646354,0.22021660649819494,1.701334840686414,4.374156532431447
106,20190208_12,Kcnj2,4,0.34070189658976546,0.24290220820189273,1.3058391369190852,2.6925351863409
107,20190322_1,Kcnj2,4,0.41269996531676006,0.20430107526881722,0.5861178439519852,1.2223312301220888
108,20190322_2,Kcnj2,4,0.528686967195449,0.23694779116465864,0.63276996587685,1.5351224024231271
109,20190322_3,Kcnj2,4,0.4359091396368594,0.2727272727272727,1.4305712165457156,2.9552589604957546
110,20190322_5,Kcnj2,4,0.4601574064070496,0.2393617021276596,0.6206884858349805,1.4684581250242221
111,20190322_7,Kcnj2,4,0.30364646674443024,0.11894273127753303,0.6743605908209869,2.0881924501974005
112,20190322_8,Kcnj2,4,0.4456900009690887,0.25892857142857145,1.6672378111057355,3.1538931892705477
113,20190322_9,Kcnj2,4,0.37788575377127837,0.18556701030927836,1.0153443957306345,2.0448894123805785
114,20190322_10,Kcnj2,4,0.3125877490165965,0.15789473684210525,0.7096151095959772,1.5249175759402913
115,20190322_11,Kcnj2,4,0.3870245956354892,0.17040358744394618,0.8543853893263342,2.2133742300668793
116,20190322_12,Kcnj2,4,0.4655328592802297,0.35511363636363635,1.3187967977002273,2.125090879462495
117,20190322_13,Kcnj2,4,0.48693119818808683,0.23983739837398374,1.1607915457999987,2.7004943215761625
118,20190322_14,Kcnj2,4,0.4065682849385502,0.1794871794871795,0.7138464241785275,1.7846160604463186
119,20190322_15,Kcnj2,4,0.43248412702056055,0.21428571428571427,1.3317805656515334,4.108371043854915
120,20190322_16,Kcnj2,4,0.2910436349415451,0.17105263157894737,1.7908855357415028,3.8294467306812985
