,recording,rate_mVenus,rate_pamCherry,density_mVenus,density_pamCherry
0,20190224_1,0.1951782295812657,0.10588235294117647,1.0904291810972957,1.811221351653135
1,20190224_2,0.257399723381085,0.14049586776859505,0.6172682739627071,1.1830975250951885
2,20190224_3,0.1183816546476769,0.06716417910447761,0.36296405031058604,0.6293951085172927
3,20190224_4,0.24156897571685101,0.145,1.0076584424265067,2.114593578688137
4,20190224_5,0.2753192931722052,0.1419624217118998,1.4201251120429745,3.7271482825648947
5,20190224_6,0.24746272591953086,0.1277533039647577,0.7343322497021512,1.637046416533458
6,20190224_7,0.3411376145843295,0.17417417417417416,1.476045883940621,3.387876743139901
7,20190224_8,0.25942893511948795,0.13732394366197184,1.671881072793646,3.5253871089269917
8,20190224_9,0.27888747884529114,0.1829787234042553,2.048530659725202,3.6926760463617927
9,20190224_10,0.23690097934403506,0.19020172910662825,2.5872124565972223,4.126654730902778
10,20190224_11,0.16021998460250175,0.1040268456375839,1.5643052249601412,4.755655189250483
11,20190224_12,0.10742620076327,0.07407407407407407,0.537741806124159,0.7995986856280973
12,20190224_13,0.18963599383260366,0.10679611650485436,0.7940623640028401,2.0354838063171394
13,20190224_14,0.41758181856223486,0.12595419847328243,0.7295447969276094,2.7846005629208754
14,20190224_15,0.3545284031355895,0.23504273504273504,1.3322717323678668,2.4839791640118833
15,20190224_16,0.17981982126581303,0.14634146341463414,2.410890342197218,3.915938572156975
16,20190316_1,0.26351165874288707,0.16863905325443787,1.5185725122078415,3.251144402829796
17,20190316_2,0.24843287061384925,0.14163090128755365,1.2327970198146374,2.122283477149249
18,20190316_3,0.30172185822959596,0.17798594847775176,2.2920709417312857,4.1420510490040146
19,20190316_4,0.23336705887772374,0.17315175097276264,1.3209602053654046,2.078466588619194
20,20190316_5,0.3355398732324704,0.2166172106824926,2.534331747404844,4.147900990461544
21,20190316_6,0.24678703745575972,0.07407407407407407,0.5148609463556083,1.8467838293190297
22,20190316_7,0.15630316369016986,0.06951871657754011,1.1032703746638297,2.3459650274445174
23,20190316_8,0.2359658418396735,0.1377049180327869,1.7928245850062714,3.6495156946692546
24,20190316_9,0.2963492907521023,0.20168067226890757,1.9877111744351719,3.207520254131286
25,20190316_10,0.2909414064654018,0.17222222222222222,1.4603143300743031,2.7599242123413865
26,20190316_11,0.2470017223483176,0.14634146341463414,1.4769176930680925,3.1173110086513556
27,20190316_12,0.208594191092018,0.16444444444444445,1.2841058514135437,1.8997071584582388
28,20190316_13,0.2393050774200702,0.1541501976284585,0.8886375477915006,1.5397590689843512
29,20190316_14,0.3400650809083153,0.16266666666666665,1.3848751250977485,3.474058170959495
30,20190316_15,0.2540412420472793,0.1619047619047619,1.3598103875881653,2.240019601130712
31,20190316_16,0.25556754456922637,0.15648854961832062,1.389444666755591,2.6459151368880884
32,20190316_17,0.2582920150775754,0.1615720524017467,1.1527324369685903,1.902008520998174
